,word,count
0,a,14740565
1,aa,79082
2,aam,31
3,aba,1370
4,abaca,116
5,abacus,602
6,abalone,1735
7,abandon,99
8,abandoned,85
9,abas,34
10,abatement,226
11,abb,154
12,abbey,1131
13,abbot,48
14,abbreviation,38
15,abdomen,800
16,abdominal,1176
17,abduction,33
18,aberration,372
19,abide,71
20,abigail,194
21,ability,11203
22,ablaze,51
23,able,22506
24,ably,31
25,abnormal,1223
26,aboard,332
27,abode,40
28,abominable,51
29,aboriginal,47
30,abound,59
31,about,119458
32,above,45920
33,aboveground,101
34,abrasion,17458
35,abrasive,4047
36,abroad,713
37,abrupt,41
38,absence,271
39,absent,38
40,absinthe,117
41,absolute,249238
42,absolutely,13991
43,absorb,12293
44,absorbability,51
45,absorbable,704
46,absorbed,939
47,absorbency,1548
48,absorbent,16549
49,absorber,3474
50,absorbing,21952
51,absorption,18763
52,absorptive,249
53,abstinence,32
54,abstract,6285
55,abstraction,52
56,abu,261
57,abundance,457
58,abundant,659
59,abundantly,63
60,abuse,3545
61,abusive,50
62,abutment,160
63,abyss,168
64,academic,1387
65,academy,916
66,acana,100
67,acanthus,164
68,acapulco,81
69,accelerate,681
70,accelerated,13865
71,acceleration,4849
72,accelerator,1048
73,accelerometer,418
74,accent,38096
75,accentuate,5608
76,accept,8477
77,acceptable,1182
78,acceptance,1164
79,accepted,1781
80,access,178057
81,accessary,118
82,accessibility,25708
83,accessible,13053
84,accessory,69335
85,accident,1915
86,accidental,14187
87,accidentally,1479
88,accidently,169
89,acclaim,205
90,acclimate,131
91,accolade,79
92,accommodate,13974
93,accommodating,531
94,accommodation,309
95,accompaniment,192
96,accompany,597
97,accomplice,170
98,accomplish,307
99,accomplished,530
100,accomplishment,368
101,accord,4307
102,accordance,2732
103,accordant,48
104,according,15721
105,accordingly,1667
106,accordion,38759
107,account,2317
108,accountability,47
109,accountant,69
110,accounting,186
111,accreditation,63
112,accredited,582
113,accumulate,891
114,accumulation,628
115,accumulator,750
116,accuracy,15185
117,accurate,27601
118,accurately,3726
119,accustomed,296
120,ace,5132
121,acetal,170
122,acetate,6934
123,acetone,104
124,acetyl,76
125,acetylene,282
126,ach,335
127,ache,321
128,achievable,66
129,achieve,8422
130,achievement,471
131,achiever,39
132,aching,224
133,achromatic,217
134,achy,97
135,acid,18803
136,acidic,435
137,acidity,162
138,acknowledge,1484
139,acknowledged,44
140,acme,1045
141,acne,120
142,acorn,2046
143,acoustic,4378
144,acoustical,169
145,acoustically,293
146,acoustics,847
147,acquire,462
148,acquired,115
149,acquisition,428
150,acre,318
151,acrobat,65
152,acrobatic,78
153,acronym,110
154,across,18261
155,acryl,196
156,acrylic,78981
157,acrylonitrile,259
158,act,4150
159,acting,1722
160,actinic,179
161,action,78372
162,activate,3821
163,activation,2686
164,activator,221
165,active,84579
166,actively,529
167,activist,45
168,activity,19169
169,actor,298
170,actress,101
171,actual,39256
172,actually,4272
173,actuation,385
174,actuator,1875
175,acuity,172
176,acupressure,129
177,acupuncture,68
178,acute,255
179,ad,18267
180,adagio,51
181,adamant,376
182,adapt,1735
183,adaptability,413
184,adaptable,1528
185,adaptation,281
186,adapter,115405
187,adaption,86
188,adaptive,2044
189,adaptor,9053
190,adat,57
191,add,105875
192,adda,207
193,added,58630
194,adder,31
195,addict,208
196,addicted,207
197,addiction,842
198,addition,25301
199,additional,60643
200,additionally,1368
201,additive,1226
202,address,9290
203,ade,270
204,adept,55
205,adequate,817
206,adequately,145
207,adhere,3134
208,adherence,229
209,adherent,43
210,adhesion,3085
211,adhesive,58185
212,adhesiveness,213
213,adipose,49
214,adjacent,1089
215,adjective,32
216,adjoining,53
217,adjure,49
218,adjust,27083
219,adjustable,253100
220,adjuster,2397
221,adjustment,22953
222,administer,251
223,administration,378
224,administrative,105
225,administrator,51
226,admirable,76
227,admirably,41
228,admiral,549
229,admiration,191
230,admire,997
231,admired,231
232,admirer,52
233,admiring,94
234,admiringly,31
235,admission,84
236,admit,75
237,ado,66
238,adobe,695
239,adolescent,32
240,adopt,1975
241,adopted,1757
242,adopter,117
243,adoption,673
244,adorable,15133
245,adorably,222
246,adoration,38
247,adore,710
248,adorer,60
249,adorn,1388
250,adornment,633
251,adrenaline,560
252,adrift,36
253,adsorb,195
254,adsorption,1102
255,adult,56992
256,adulthood,34
257,advance,4545
258,advanced,42159
259,advancement,122
260,advancing,77
261,advantage,7329
262,advantageous,62
263,adventure,9956
264,adventurer,443
265,adventurous,505
266,adverse,644
267,adversely,94
268,advert,83
269,advertise,234
270,advertisement,1120
271,advertising,1570
272,advice,1772
273,advisable,266
274,advise,728
275,advised,1269
276,adviser,498
277,advisor,185
278,advisory,1151
279,advocacy,83
280,advocate,148
281,ady,40
282,adz,81
283,ae,3990
284,aegis,1755
285,aeon,147
286,aer,187
287,aerate,305
288,aeration,957
289,aerator,2556
290,aerial,1364
291,aero,2816
292,aerobatic,81
293,aerobatics,31
294,aerobic,691
295,aerodynamic,3371
296,aerodynamics,644
297,aerograph,36
298,aeronautical,41
299,aeroplane,50
300,aerosol,1777
301,aes,828
302,aesthetic,3223
303,aesthetically,837
304,aesthetics,1327
305,afar,137
306,affair,378
307,affect,4782
308,affected,1645
309,affecting,850
310,affection,317
311,affectionate,88
312,affective,38
313,affiliation,279
314,affinity,480
315,affirmation,236
316,affix,320
317,affliction,517
318,afford,456
319,affordable,16662
320,afloat,314
321,afraid,790
322,aft,198
323,after,143971
324,afterburner,110
325,afterglow,392
326,afterlife,45
327,aftermath,70
328,afternoon,779
329,afternoons,183
330,aftershock,37
331,aftertaste,131
332,afterward,93
333,afterwards,271
334,aga,40
335,again,19245
336,against,100537
337,agar,99
338,agate,4566
339,age,31314
340,aged,4305
341,ageless,119
342,agency,714
343,agenda,600
344,agent,2684
345,aggravate,51
346,aggravation,106
347,aggregate,106
348,aggregation,132
349,aggression,192
350,aggressive,5981
351,aggressively,173
352,aggressiveness,34
353,aggressor,108
354,agile,538
355,agility,1842
356,aging,3072
357,agio,100
358,agitate,55
359,agitation,145
360,agitator,293
361,aglet,49
362,aglow,55
363,ago,1020
364,agora,70
365,agree,18364
366,agreeably,32
367,agreement,322
